Item Number,Vendor,Description,Category,Buyer,Planner,Item Type,Serialized (Y/N),Price,Unit of Measure,Manufacturers Part Number (MPN),Vendor,Vendor Part Number,Lead Time (Calendar Days),Handling Time (Logistics LT),Safety Stock,Minimum Order Quantity,Quantity per Carton,Cartons per Pallet,Carton Length,Carton Width,Carton Height,Carton Weight,Carton Dimensional Weight,ECCN,HTS,Costing Method,FA Type,Asset Account,GPU (Y/N),GPU Type,CPU Type,GPU Chip Count,GPU Core Count,RAM (Bytes),Local SSD (Y/N),SSD (Bytes),Local Disk (Y/N),Disk (Bytes),Network Interface Card (NIC) Count,Max Power Consumption (Watts)
String,String,String,List,,,List,List,Currency,List,String,List,String,Number,,Number,Number,,,,,,,,,,List,List,List,Boolean,String,String,Number,Number,Number,Boolean,Number,Boolean,Number,Number,Number
Mandatory,Mandatory,,Mandatory,,,,Mandatory,,Mandatory,Mandatory,,,Mandatory,,,,,,,,,,,,,Mandatory,,Mandatory,,,,,,,,,,,,
115M-12FSM-PFF-B-K8,Proficium,OS2 12F MTP F-F Type B 115M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,108.60",Eaches,115M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
135M-12FSM-PFF-B-K8,Proficium,OS2 12F MTP F-F Type B 135M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,302.11",Eaches,135M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
140M-12FSM-PFF-B-K8,Proficium,OS2 12F MTP F-F Type B 140M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,350.33",Eaches,140M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
145M-12FSM-PFF-B-K8,Proficium,OS2 12F MTP F-F Type B 145M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,398.52",Eaches,145M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
180M-12FSM-PFF-B-K8,Proficium,OS2 12F MTP F-F Type B 180M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,735.20",Eaches,180M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
200M-12FSM-PFF-B-K8,Proficium,OS2 12F MTP F-F Type B 200M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,928.00",Eaches,200M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
230M-12FSM-PFF-B-K8,Proficium,OS2 12F MTP F-F Type B 230M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$2,217.20",Eaches,230M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
240M-12FSM-PFF-B-K8,Proficium,OS2 12F MTP F-F Type B 240M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$2,313.60",Eaches,240M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
250M-12FSM-PFF-B-K8,Proficium,OS2 12F MTP F-F Type B 250M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$2,410.00",Eaches,250M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
270M-12FSM-PFF-B-K8,Proficium,OS2 12F MTP F-F Type B 270M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$2,602.80",Eaches,270M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
280M-12FSM-PFF-B-K8,Proficium,OS2 12F MTP F-F Type B 280M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$2,699.20",Eaches,280M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
290M-12FSM-PFF-B-K8,Proficium,OS2 12F MTP F-F Type B 290M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$2,795.60",Eaches,290M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
100M-2FSM-LCLC,Proficium,OS2 Duplex LC-LC 100M,Cabling,Jon,Swapnil Kale,Inventory,No,$50.23,Eaches,100M-2FSM-LCLC,Proficium,,7,,,,20,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
105M-2FSM-LCLC,Proficium,OS2 Duplex LC-LC 105M,Cabling,Jon,Swapnil Kale,Inventory,No,$52.74,Eaches,105M-2FSM-LCLC,Proficium,,7,,,,20,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
110M-2FSM-LCLC,Proficium,OS2 Duplex LC-LC 110M,Cabling,Jon,Swapnil Kale,Inventory,No,$55.25,Eaches,110M-2FSM-LCLC,Proficium,,7,,,,20,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
200M-2FSM-LCLC,Proficium,OS2 Duplex LC-LC 200M,Cabling,Jon,Swapnil Kale,Inventory,No,$100.46,Eaches,200M-2FSM-LCLC,Proficium,,7,,,,20,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
230M-2FSM-LCLC,Proficium,OS2 Duplex LC-LC 230M,Cabling,Jon,Swapnil Kale,Inventory,No,$115.00,Eaches,230M-2FSM-LCLC,Proficium,,7,,,,20,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
240M-2FSM-LCLC,Proficium,OS2 Duplex LC-LC 240M,Cabling,Jon,Swapnil Kale,Inventory,No,$120.00,Eaches,240M-2FSM-LCLC,Proficium,,7,,,,20,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
250M-2FSM-LCLC,Proficium,OS2 Duplex LC-LC 250M,Cabling,Jon,Swapnil Kale,Inventory,No,$125.00,Eaches,250M-2FSM-LCLC,Proficium,,7,,,,20,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
