Item Number,Vendor,Description,Category,Buyer,Planner,Item Type,Serialized (Y/N),Price,Unit of Measure,Manufacturers Part Number (MPN),Vendor,Vendor Part Number,Lead Time (Calendar Days),Handling Time (Logistics LT),Safety Stock,Minimum Order Quantity,Quantity per Carton,Cartons per Pallet,Carton Length,Carton Width,Carton Height,Carton Weight,Carton Dimensional Weight,ECCN,HTS,Costing Method,FA Type,Asset Account,GPU (Y/N),GPU Type,CPU Type,GPU Chip Count,GPU Core Count,RAM (Bytes),Local SSD (Y/N),SSD (Bytes),Local Disk (Y/N),Disk (Bytes),Network Interface Card (NIC) Count,Max Power Consumption (Watts)
String,String,String,List,,,List,List,Currency,List,String,List,String,Number,,Number,Number,,,,,,,,,,List,List,List,Boolean,String,String,Number,Number,Number,Boolean,Number,Boolean,Number,Number,Number
Mandatory,Mandatory,,Mandatory,,,,Mandatory,,Mandatory,Mandatory,,,Mandatory,,,,,,,,,,,,,Mandatory,,Mandatory,,,,,,,,,,,,
45M-12FSM-PFF-B-LZ,Proficium Inc.,OS2 12F MTP F-F LSZH Type B 45M,Cabling,Swapnil Kale,Jon Merendino,Inventory,No,$134.75,Eaches,45M-12FSM-PFF-B-LZ,Proficium Inc.,45M-12FSM-PFF-B-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
50M-12FSM-PFF-B-LZ,Proficium Inc.,OS2 12F MTP F-F LSZH Type B 50M,Cabling,Swapnil Kale,Jon Merendino,Inventory,No,$141.91,Eaches,50M-12FSM-PFF-B-LZ,Proficium Inc.,50M-12FSM-PFF-B-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
60M-12FSM-PFF-B-LZ,Proficium Inc.,"60M-12FSM-PFF-B-LZ
 
 OS2 12F MTP F-F LSZH Type B 60M",Cabling,Swapnil Kale,Jon Merendino,Inventory,No,$291.15,Eaches,60M-12FSM-PFF-B-LZ,Proficium Inc.,60M-12FSM-PFF-B-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
75M-12FSM-PFF-B-LZ,Proficium Inc.,"75M-12FSM-PFF-B-LZ
 
 OS2 12F MTP F-F LSZH Type B 75M",Cabling,Swapnil Kale,Jon Merendino,Inventory,No,$331.31,Eaches,75M-12FSM-PFF-B-LZ,Proficium Inc.,75M-12FSM-PFF-B-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
C6A-SDX-WH-20-B-LZ,Proficium Inc.,20FT C6A XTRA Mini LSZH W/B-White,Cabling,Swapnil Kale,Jon Merendino,Inventory,No,$14.14,Eaches,C6A-SDX-WH-20-B-LZ,Proficium Inc.,C6A-SDX-WH-20-B-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
C6A-SDX-WH-25-B-LZ,Proficium Inc.,25FT C6A XTRA Mini LSZH W/B-White,Cabling,Swapnil Kale,Jon Merendino,Inventory,No,$15.85,Eaches,C6A-SDX-WH-25-B-LZ,Proficium Inc.,C6A-SDX-WH-25-B-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
C6A-SDX-WH-30-B-LZ,Proficium Inc.,30FT C6A XTRA Mini LSZH W/B-White,Cabling,Swapnil Kale,Jon Merendino,Inventory,No,$17.56,Eaches,C6A-SDX-WH-30-B-LZ,Proficium Inc.,C6A-SDX-WH-30-B-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
C6A-SDX-WH-40-B-LZ,Proficium Inc.,40FT C6A XTRA Mini LSZH W/B-White,Cabling,Swapnil Kale,Jon Merendino,Inventory,No,$20.95,,C6A-SDX-WH-40-B-LZ,Proficium Inc.,C6A-SDX-WH-40-B-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
C6A-SDX-WH-50-B-LZ,Proficium Inc.,50FT C6A XTRA Mini LSZH W/B-White,Cabling,Swapnil Kale,Jon Merendino,Inventory,No,$25.15,Eaches,C6A-SDX-WH-50-B-LZ,Proficium Inc.,C6A-SDX-WH-50-B-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
7M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,OM3 12F MTP F-F LSZH APC Type B 7M Bundles of (8) in Blue Mesh,Cabling,Swapnil Kale,Jon Merendino,Inventory,No,$676.99,Eaches,7M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,7M-12FM3-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
10M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,OM3 12F MTP F-F LSZH APC Type B 10M Bundles of (8) in Blue Mesh,Cabling,Swapnil Kale,Jon Merendino,Inventory,No,$821.16,Eaches,10M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,10M-12FM3-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
15M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,OM3 12F MTP F-F LSZH APC Type B 15M Bundles of (8) in Blue Mesh,Cabling,Swapnil Kale,Jon Merendino,Inventory,No,"$1,018.23",Eaches,15M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,15M-12FM3-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
20M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,OM3 12F MTP F-F LSZH APC Type B 20M Bundles of (8) in Blue Mesh,Cabling,Swapnil Kale,Jon Merendino,Inventory,No,"$1,191.70",Eaches,20M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,20M-12FM3-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
25M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,OM3 12F MTP F-F LSZH APC Type B 25M Bundles of (8) in Blue Mesh,Cabling,Swapnil Kale,Jon Merendino,Inventory,No,"$1,377.15",Eaches,25M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,25M-12FM3-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
30M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,OM3 12F MTP F-F LSZH APC Type B 30M Bundles of (8) in Blue Mesh,Cabling,Swapnil Kale,Jon Merendino,Inventory,No,"$1,545.49",Eaches,30M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,30M-12FM3-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
40M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,OM4 12F MTP F-F LSZH APC Type B 40M Bundles of (8) in Blue Mesh,Cabling,Swapnil Kale,Jon Merendino,Inventory,No,"$2,516.83",Eaches,40M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,40M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
50M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,OM4 12F MTP F-F LSZH APC Type B 50M Bundles of (8) in Blue Mesh,Cabling,Swapnil Kale,Jon Merendino,Inventory,No,"$3,049.76",Eaches,50M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,50M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
35M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,OM4 12F MTP F-F LSZH APC Type B 35M ((Bundles of (8) in Blue Mesh),Cabling,Swapnil Kale,Jon Merendino,Inventory,No,"$2,229.08",Eaches,35M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,35M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
45M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,OM4 12F MTP F-F LSZH APC Type B 45M (Bundles of (8) in Blue Mesh),Cabling,Swapnil Kale,Jon Merendino,Inventory,No,"$2,745.30",Eaches,45M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,45M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
55M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,OM4 12F MTP F-F LSZH APC Type B 55M (Bundles of (8) in Blue Mesh),Cabling,Swapnil Kale,Jon Merendino,Inventory,No,"$3,262.50",Eaches,55M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,55M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
60M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,OM4 12F MTP F-F LSZH APC Type B 60M (Bundles of (8) in Blue Mesh),Cabling,Swapnil Kale,Jon Merendino,Inventory,No,"$3,522.82",Eaches,60M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,60M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
65M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,OM4 12F MTP F-F LSZH APC Type B 65M (Bundles of (8) in Blue Mesh),Cabling,Swapnil Kale,Jon Merendino,Inventory,No,"$3,783.14",Eaches,65M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,65M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
75M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,OM4 12F MTP F-F LSZH APC Type B 75M (Bundles of (8) in Blue Mesh),Cabling,Swapnil Kale,Jon Merendino,Inventory,No,"$4,307.82",Eaches,75M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,75M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
70M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,70M-12FM4-PFF-APC-B-K8-LZ OM4 12F MTP F-F LSZH APC Type 70M Bundles of (8) in Blue Mesh,Cabling,Swapnil Kale,Jon Merendino,Inventory,No,"$3,109.73",Eaches,70M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,70M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
95M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,95M-12FM4-PFF-APC-B-K8-LZ OM4 12F MTP F-F LSZH APC Type 95M Bundles of (8) in Blue Mesh,Cabling,Swapnil Kale,Jon Merendino,Inventory,No,"$4,171.34",Eaches,95M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,95M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
AOC-623436AC-CDAB,Super Micro Computer Inc.,Mellanox MCX623436AC-CDAB OCP3.0 2-port 100GbE QSFP28,NIC/DPU,Sekou Sako,Sekou Sako,Inventory,No,"$3,256.00",Eaches,AOC-623436AC-CDAB,Super Micro Computer Inc.,AOC-623436AC-CDAB,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
AOC-653105A-HDAT,Super Micro Computer Inc.,"CX-6 VPI,HDR,200GbE,1xQSFP56,PCIe4x16",NIC/DPU,Sekou Sako,Sekou Sako,Inventory,No,"$1,357.00",Eaches,AOC-653105A-HDAT,Super Micro Computer Inc.,AOC-653105A-HDAT,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
AOC-A100G-M2CM-O,Super Micro Computer Inc.,"AIOM 2-port 100GbE QSFP28,Mellanox CX-6 DX w/0.5U bracket",NIC/DPU,Sekou Sako,Sekou Sako,Inventory,No,"$2,237.10",Eaches,AOC-A100G-M2CM-O,Super Micro Computer Inc.,AOC-A100G-M2CM-O,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
CBL-MCIO-1226AM5R,Super Micro Computer Inc.,"MCIOx8 (STR to RA),26cm,LNRV,30AWG,RoHS",Cabling,Sekou Sako,Sekou Sako,Inventory,No,$43.20,Eaches,CBL-MCIO-1226AM5R,Super Micro Computer Inc.,CBL-MCIO-1226AM5R,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
CBL-MCIO-1245U2Y-E,Super Micro Computer Inc.,"MCIO x8 to 2x SFF-8639/U.2+Pwr,45cm,G5,RoHS",Cabling,Sekou Sako,Sekou Sako,Inventory,No,$59.50,Eaches,CBL-MCIO-1245U2Y-E,Super Micro Computer Inc.,CBL-MCIO-1245U2Y-E,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
CBL-PWEX-0665,Super Micro Computer Inc.,PCIe 8 Pin Female(Black) to CPU 8 Pin Female(White),Cabling,Sekou Sako,Sekou Sako,Inventory,No,$17.40,Eaches,CBL-PWEX-0665,Super Micro Computer Inc.,CBL-PWEX-0665,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
CBL-PWEX-1017,Super Micro Computer Inc.,"PWYCB,GPU,2x4F/CPU to 2 (2x3F+2x1F)/PCIe,P4.2,20CM,16/20#,7A",Cabling,Sekou Sako,Sekou Sako,Inventory,No,$12.90,Eaches,CBL-PWEX-1017,Super Micro Computer Inc.,CBL-PWEX-1017,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
CBL-PWEX-1136YB-25,Super Micro Computer Inc.,"MicroHi(2x4 to 2x2Y),PH3.0,25/25cm,8.5A/p,18AWG,RoHS",Cabling,Sekou Sako,Sekou Sako,Inventory,No,$10.80,Eaches,CBL-PWEX-1136YB-25,Super Micro Computer Inc.,CBL-PWEX-1136YB-25,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
"GPU-NVDPU-2M516C-CECOT 
 ",Super Micro Computer Inc.,NVIDIA BF2 E-Series 100GbE Dual-Port QSFP56 PCIe,NIC/DPU,Sekou Sako,Sekou Sako,Inventory,No,"$1,482.00",Eaches,"GPU-NVDPU-2M516C-CECOT 
 ",Super Micro Computer Inc.,"GPU-NVDPU-2M516C-CECOT 
 ",,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
"GPU-NVDPU-B3140H-C
 
",Super Micro Computer Inc.,"Nvidia BlueField-3 B3140H E-series HHHL DPU, 400GbE(CQ8600974403)",NIC/DPU,Sekou Sako,Sekou Sako,Inventory,No,"$3,113.00",Eaches,"GPU-NVDPU-B3140H-C
 
",Super Micro Computer Inc.,"GPU-NVDPU-B3140H-C
 
",,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
HDS-25N4-007T6-10-T1D-SIE-01,Super Micro Computer Inc.,"SSD 2.5"" NVMe PCIe4 7.68TB 1DWPD TLC SIE/ISE",Server Component,Sekou Sako,Sekou Sako,Inventory,No,$763.00,Eaches,HDS-25N4-007T6-10-T1D-SIE-01,Super Micro Computer Inc.,HDS-25N4-007T6-10-T1D-SIE-01,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
HDS-25N4-007T6-E1-TXD-SED-00,Super Micro Computer Inc.,"SSD 2.5"" NVMe PCIe4 7.6TB 1DWPD TLC D, SED/TCG 7mm",Server Component,Sekou Sako,Sekou Sako,Inventory,No,$962.50,Eaches,HDS-25N4-007T6-E1-TXD-SED-00,Super Micro Computer Inc.,HDS-25N4-007T6-E1-TXD-SED-00,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
HDS-25N4-007T6-E1-TXDSED-007,Super Micro Computer Inc.,"SSD 2.5"" NVMe PCIe4 7.6TB 1DWPD TLC D, SED/TCG 7mm",Server Component,Sekou Sako,Sekou Sako,Inventory,No,"$2,076.00",Eaches,HDS-25N4-007T6-E1-TXDSED-007,Super Micro Computer Inc.,HDS-25N4-007T6-E1-TXDSED-007,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
HDS-25N4-007T6-L2-TXDOSE-015,Super Micro Computer Inc.,"SSD 2.5"" NVMe PCIe4 7.6TB <2DWPD TLC D, SED+OPAL 15mm",Server Component,Sekou Sako,Sekou Sako,Inventory,No,"$1,020.00",Eaches,HDS-25N4-007T6-L2-TXDOSE-015,Super Micro Computer Inc.,HDS-25N4-007T6-L2-TXDOSE-015,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
HDS-SMN0-MZ1L21T9HCLSA7,Super Micro Computer Inc.,"PM9A3 1.9TB NVMePCIeGen4 V6 M.2 22x110M(1DWPD),SED",Server Component,Sekou Sako,Sekou Sako,Inventory,No,$232.00,Eaches,HDS-SMN0-MZ1L21T9HCLSA7,Super Micro Computer Inc.,HDS-SMN0-MZ1L21T9HCLSA7,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
HDS-SUN0 MZQL23T8HCLSA7,Super Micro Computer Inc.,PM9A3 3.8TB NVMe PCIe4x4 U.2 7mm 1DWPD 5YR SED Opal,Server Component,Sekou Sako,Sekou Sako,Inventory,No,$234.50,Eaches,HDS-SUN0 MZQL23T8HCLSA7,Super Micro Computer Inc.,HDS-SUN0 MZQL23T8HCLSA7,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
HDS-SUN0 MZQL27T6HBLAA7,Super Micro Computer Inc.,PM9A3 7.6TB NVMe PCIe4x4 U.2 7mm 1DWPD 5YR SED Opal,Server Component,Sekou Sako,Sekou Sako,Inventory,No,$409.00,Eaches,HDS-SUN0 MZQL27T6HBLAA7,Super Micro Computer Inc.,HDS-SUN0 MZQL27T6HBLAA7,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
HDS-SUN0- MZQL27T6HBLAA,Super Micro Computer Inc.,Samsung PM9A3 7.6TB NVMe PCIe4x4 U.2 7mm 1DWPD 5YR SED Opal,Server Component,Sekou Sako,Sekou Sako,Inventory,No,$458.00,Eaches,HDS-SUN0- MZQL27T6HBLAA,Super Micro Computer Inc.,HDS-SUN0- MZQL27T6HBLAA,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
"HDS-TUN0-KCD6XLUL7T68
 ",Super Micro Computer Inc.,"Kioxia CD6-R 7.68TB NVMe PCIe4x4 2.5"" 15mm SIE 1DWPD",Server Component,Sekou Sako,Sekou Sako,Inventory,No,"$1,526.00",Eaches,"HDS-TUN0-KCD6XLUL7T68
 ",Super Micro Computer Inc.,"HDS-TUN0-KCD6XLUL7T68
 ",,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
HDS-TUN0-KCD6XLUL7T68,Super Micro Computer Inc.,"Kioxia CD6-R 7.68TB NVMe PCIe4x4 2.5"" 15mm SIE 1DWPD 5YR",Server Component,Sekou Sako,Sekou Sako,Inventory,No,"$1,526.00",Eaches,HDS-TUN0-KCD6XLUL7T68,Super Micro Computer Inc.,HDS-TUN0-KCD6XLUL7T68,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
FAN-0210L4,Super Micro Computer Inc.,"40x40x56 mm, 29.5K-25.5K RPM, Counter-rotating Fan, RoHS",Server Component,Sekou Sako,Sekou Sako,Inventory,No,$29.00,Eaches,FAN-0210L4,Super Micro Computer Inc.,FAN-0210L4,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
FAN-0238L4-1,Super Micro Computer Inc.,"80x80x80 mm, 12K-11.3K RPM Counter-rotating Fan for GP801,Ro",Server Component,Sekou Sako,Sekou Sako,Inventory,No,$612.00,Eaches,FAN-0238L4-1,Super Micro Computer Inc.,FAN-0238L4-1,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
FAN-0246L4,Super Micro Computer Inc.,"80x80x80mm, 48V 14.6K/12.2K RPM Counter-rotator, rear fan",Server Component,Sekou Sako,Sekou Sako,Inventory,No,$612.00,Eaches,FAN-0246L4,Super Micro Computer Inc.,FAN-0246L4,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
PWS-3K02G-2R,Super Micro Computer Inc.,"AC-DC 3000W, Titanium efficiency, AC input voltage range: 20",Server Component,Sekou Sako,Sekou Sako,Inventory,No,$813.00,Eaches,PWS-3K02G-2R,Super Micro Computer Inc.,PWS-3K02G-2R,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
TRX-MMA1Z00-NS400,Super Micro Computer Inc.,"NVDA 1-p TCVR,400G,QSFP112,MPO, 850nm MMF,SR4,30m,flat top",Transceiver,Sekou Sako,Sekou Sako,Inventory,No,"$1,240.00",Eaches,TRX-MMA1Z00-NS400,Super Micro Computer Inc.,TRX-MMA1Z00-NS400,,,,,,,,,,,,,,Average,Transceivers and Optics,144502,,,,,,,,,,,,
"LCS-SPAT-MT0005 
 
 ",Super Micro Computer Inc.,"SPAT, Maintain tool, coolant refill tool,RoHS(CQ8601231712)",Consumables and Misc.,Sekou Sako,Sekou Sako,Inventory,No,"$2,711.00",Eaches,"LCS-SPAT-MT0005 
 
 ",Super Micro Computer Inc.,"LCS-SPAT-MT0005 
 
 ",,,,,,,,,,,,,,Average,Machinery & Equipment - Non-Computing,144502,,,,,,,,,,,,
"LCS-SPAT-TSFH0019 
 ",Super Micro Computer Inc.,"SPAT, Tube series, extended tube, LQ2 male to LQ6 female,RoH(CQ8601184206)",Consumables and Misc.,Sekou Sako,Sekou Sako,Inventory,No,"$1,007.00",Eaches,"LCS-SPAT-TSFH0019 
 ",Super Micro Computer Inc.,"LCS-SPAT-TSFH0019 
 ",,,,,,,,,,,,,,Average,Machinery & Equipment - Non-Computing,144502,,,,,,,,,,,,
MBD-X11SPA-T-O,Super Micro Computer Inc.,"Flagship workstation motherboard,Xeon-,SP processor",Server Component,Sekou Sako,Sekou Sako,Inventory,No,$593.00,Eaches,MBD-X11SPA-T-O,Super Micro Computer Inc.,MBD-X11SPA-T-O,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
MBD-X13SEM-TF-O,Super Micro Computer Inc.,"Intel Xeon SPR-SP CPU up to 56 cores 350W TDP+EBGPCH,8xD",Server Component,Sekou Sako,Sekou Sako,Inventory,No,$690.00,Eaches,MBD-X13SEM-TF-O,Super Micro Computer Inc.,MBD-X13SEM-TF-O,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
MCP-220-00167-0B,Super Micro Computer Inc.,"Gen 3 2.5-inch Tool-less NVMe drive tray (clip design),RoHS",Server Component,Sekou Sako,Sekou Sako,Inventory,No,$13.30,Eaches,MCP-220-00167-0B,Super Micro Computer Inc.,MCP-220-00167-0B,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
MCP-240-21908-0N,Super Micro Computer Inc.,Riser Bracket(4-slot) for RSC-H2-6888G5L in CSE-HS219/HS829,Server Component,Sekou Sako,Sekou Sako,Inventory,No,$50.50,Eaches,MCP-240-21908-0N,Super Micro Computer Inc.,MCP-240-21908-0N,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
MEM-DR516L-SL02-ER48,Super Micro Computer Inc.,MEM-DR516L-SL02-ER48 16GB DDR5 4800Mhz 1Rx8 (16Gb) ECC REG DIMM,Server Component,Sekou Sako,Sekou Sako,Inventory,No,$98.10,Eaches,MEM-DR516L-SL02-ER48,Super Micro Computer Inc.,MEM-DR516L-SL02-ER48,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
MEM-DR516L-SL02-ER48,Super Micro Computer Inc.,16GB DDR5 4800Mhz 1Rx8 (16Gb) ECC REG DIMM,Server Component,Sekou Sako,Sekou Sako,Inventory,No,$84.70,Eaches,MEM-DR516L-SL02-ER48,Super Micro Computer Inc.,MEM-DR516L-SL02-ER48,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
HDS-SMN0-MZ1L21T9HCLSA7,Super Micro Computer Inc.,Samsung PM9A3 1.92TB NVMe PCIe4x4 M.2 22x110mm 1DWPD SED,Server Component,Sekou Sako,Sekou Sako,Inventory,No,$340.50,Eaches,HDS-SMN0-MZ1L21T9HCLSA7,Super Micro Computer Inc.,HDS-SMN0-MZ1L21T9HCLSA7,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
HDS-IEN0-SSDPFUKX076T1-S ,Super Micro Computer Inc.,Solidigm D7 P5520 E1.S PCIe 4 TLC 9.5mm 7.68TB <2DWPD,Server Component,Sekou Sako,Sekou Sako,Inventory,No,$888.50,Eaches,HDS-IEN0-SSDPFUKX076T1-S ,Super Micro Computer Inc.,HDS-IEN0-SSDPFUKX076T1-S ,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
PWS-3K02G-2R,Super Micro Computer Inc.,"AC-DC 3000W, Titanium efficiency, AC input voltage range: 20",Server Component,Sekou Sako,Sekou Sako,Inventory,No,"$1,626.00",Eaches,PWS-3K02G-2R,Super Micro Computer Inc.,PWS-3K02G-2R,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
PWS-2K09A-1R,Super Micro Computer Inc.,"AC-DC 1U 2000W 80 Plus Titanium CRPS, forward airflow, W73.5",Server Component,Sekou Sako,Sekou Sako,Inventory,No,$397.50,Eaches,PWS-2K09A-1R,Super Micro Computer Inc.,PWS-2K09A-1R,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
PS-2521-2-LF,Lite On,Lite On Cisco 500-Watts AC B-F Airflow Power Supply,Server Component,Sekou Sako,Sekou Sako,Inventory,No,$367.00,Eaches,PS-2521-2-LF,Lite On,PS-2521-2-LF,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
"SRK-00AS-003 
 
 ",Super Micro Computer Inc.,"Legrand 138388A - Ramp for Shock Pallet, 6"", RoHS(CQ8601231712)",Machinery and Equipment,Sekou Sako,Sekou Sako,Inventory,No,"$1,725.00",Eaches,"SRK-00AS-003 
 
 ",Super Micro Computer Inc.,"SRK-00AS-003 
 
 ",,,,,,,,,,,,,,Average,Machinery & Equipment - Non-Computing,144502,,,,,,,,,,,,
AOC-CX766003N-SQ0,Super Micro Computer Inc.,900-9X766-003N-SQ0 1xNDR400G IB/EN OSFP Gen5x16 NoCrypto CX7 ,NIC/DPU,Sekou Sako,Sekou Sako,Inventory,No," $ 1,136.00 ",Eaches,AOC-CX766003N-SQ0,Super Micro Computer Inc.,AOC-CX766003N-SQ0,,,,,,,,,,,,,,Average,Server Components,144502,,,,,,,,,,,,
SRK-00PD-RT60-01-CI061,Super Micro Computer Inc.,"Raritan PX3-5215I2V-P1V4, 34.5kW 415V 60A, RoHS",PDUs,Sekou Sako,Sekou Sako,Inventory,No," $ 3,890.00 ",Eaches,SRK-00PD-RT60-01-CI061,Super Micro Computer Inc.,SRK-00PD-RT60-01-CI061,,,,,,,,,,,,,,Average,UPS-PDU,144502,,,,,,,,,,,,
SRK-00PD-RT100-01,Super Micro Computer Inc.,"RARITAN PX3-582AI2U-F5N1Q2V2 IEC60309 100A 3PY, 52.7kVA",PDUs,Sekou Sako,Sekou Sako,Inventory,No," $ 4,550.00 ",Eaches,SRK-00PD-RT100-01,Super Micro Computer Inc.,SRK-00PD-RT100-01,,,,,,,,,,,,,,Average,UPS-PDU,144502,,,,,,,,,,,,
